Month (month),State (state_name),State Code (state_code),District (district_name),District Code (district_code),Total Rice Allocated (total_rice_allocated),Total Wheat Allocated (total_wheat_allocated),Total Rice Distributed (total_rice_distributed),Total Wheat Distritibuted (total_wheat_distributed)
"2019-03-01","Uttar Pradesh","9","Pilibhit","173","3535.52","5211.64","4353.37","6428.01"
"2019-12-01","Madhya Pradesh","23","Rewa","424","2281.0","8108.19","1966.26","6998.11"
"2018-05-01","Telangana","36","Nizamabad","516","4329.28","0.0","4167.79","0.0"
"2020-07-01","Tripura","16","West Tripura","272","2982.87","0.0","2924.81","0.0"
"2018-12-01","Chhattisgarh","22","Jashpur","380","4215.57","0.0","4053.54","0.0"
"2018-02-01","Madhya Pradesh","23","Balaghat","392","4860.39","3357.55","2814.64","1945.49"
"2019-04-01","Telangana","36","Medchal Malkajgiri","700","5409.36","0.0","5364.71","0.0"
"2019-12-01","Assam","18","Marigaon","296","4278.28","290.0","4278.28","290.0"
"2018-04-01","Andhra Pradesh","28","Vizianagaram","521","9133.93","0.0","8221.38","0.0"
"2017-11-01","Karnataka","29","Bengaluru Rural","526","4933.43","0.0","4421.82","0.0"
"2019-10-01","Maharashtra","27","Gondia","476","7830.87","4184.83","3879.4","2059.0"
"2020-05-01","Uttar Pradesh","9","Saharanpur","177","5559.45","8202.63","5380.21","7936.08"
"2020-01-01","Himachal Pradesh","2","Kangra","18","1662.0","2366.0","1494.89","2016.62"
"2019-03-01","Uttar Pradesh","9","Gorakhpur","148","7035.09","10236.66","6851.95","9965.92"
"2021-10-01","Uttarakhand","5","Almora","45","2569.67","1574.96","530.1","363.84"
"2019-06-01","Chhattisgarh","22","Narayanpur","637","1260.17","0.0","954.92","0.0"
"2021-10-01","Bihar","10","Begusarai","191","8270.89","5513.93","7894.76","5263.34"
"2019-03-01","Assam","18","Bongaigaon","281","3157.03","170.0","3157.03","170.0"
"2020-09-01","Andhra Pradesh","28","West Godavari","523","12754.83","0.0","11879.8","0.0"
"2020-06-01","Madhya Pradesh","23","Seoni","428","3181.3","4647.2","1955.7","2852.27"
"2018-11-01","Uttar Pradesh","9","Mainpuri","166","2692.03","3880.35","2571.7","3743.08"
"2017-10-01","Chhattisgarh","22","Rajnandgaon","388","6421.06","0.0","6296.18","0.0"
"2018-10-01","Nagaland","13","Wokha","250","592.24","0.0","592.24","0.0"
"2018-08-01","Maharashtra","27","Nanded","485","8839.07","12872.42","4571.98","6651.11"
"2020-02-01","Assam","18","Karbi Anglong","292","3688.5","0.0","3687.2","0.0"
"2018-02-01","Uttar Pradesh","9","Banda","128","3031.11","4425.8","3002.73","4383.91"
"2020-05-01","Uttar Pradesh","9","Mainpuri","166","2600.27","3785.66","2491.25","3628.88"
"2018-10-01","Bihar","10","Arwal","611","1730.51","1153.67","1655.93","1103.95"
"2020-03-01","Odisha","21","Boudh","349","2031.35","138.84","2.07","0.14"
"2019-03-01","Uttar Pradesh","9","Faizabad","140","3950.22","5767.85","3918.7","5747.58"
"2020-05-01","Tamil Nadu","33","Tuticorin","594","6129.82","184.47","5412.63","173.74"
"2019-06-01","Meghalaya","17","West Jaintia Hills","275","1065.56","0.0","1065.56","0.0"
"2020-02-01","Karnataka","29","Shivamogga","547","7016.09","0.0","6116.03","0.0"
"2018-02-01","Maharashtra","27","Satara","494","7769.88","11488.06","3132.11","4991.9"
"2019-11-01","Madhya Pradesh","23","Umaria","436","1432.11","1976.58","1292.86","1785.77"
"2020-02-01","Madhya Pradesh","23","Mandla","415","4022.4","2936.36","3445.2","2507.74"
"2020-12-01","Bihar","10","Vaishali","224","20245.7","13497.13","14214.47","9472.65"
"2018-07-01","Bihar","10","Samastipur","217","12679.31","8452.87","12584.33","8389.55"
"2019-11-01","Andhra Pradesh","28","Chittoor","503","14440.41","0.0","13872.3","0.0"
"2020-07-01","Tamil Nadu","33","The Nilgiris","587","2537.98","117.33","2017.62","117.46"
"2019-10-01","Telangana","36","Narayanpet","721","1870.05","0.0","1662.62","0.0"
"2018-06-01","Gujarat","24","Valsad","462","1741.37","4105.74","1433.4","3380.46"
"2018-04-01","Haryana","6","Faridabad","60","0.0","1780.16","0.0","2622.05"
"2020-02-01","Uttar Pradesh","9","Bhadohi","179","2727.43","3995.49","2556.05","3739.79"
"2021-11-01","Ladakh","37","Leh Ladakh","9","115.34","150.05","99.39","128.24"
"2019-11-01","Bihar","10","Aurangabad","189","11163.64","7442.43","5638.92","3759.28"
"2020-08-01","Lakshadweep","31","Lakshadweep District","553","132.84","0.0","27.04","0.0"
"2020-06-01","Rajasthan","8","Jaisalmer","103","0.0","2197.61","0.0","2066.91"
"2021-09-01","Telangana","36","Mulugu","720","1039.02","0.0","988.58","0.0"
"2019-04-01","Rajasthan","8","Nagaur","110","0.0","12060.43","0.0","11416.88"
"2019-04-01","Haryana","6","Sonipat","75","0.0","2801.76","0.0","1937.06"
